cmip6-id, cmip6-label, cmip6-type
cmip6.toplevel, Toplevel, realm
, , 
cmip6.toplevel.key_properties, Toplevel > Key Properties, keyprops
cmip6.toplevel.key_properties.tuning_applied, Toplevel > Key Properties > Tuning Applied, subprocess
cmip6.toplevel.key_properties.conservation, Toplevel > Key Properties > Conservation, subprocess
, , 
cmip6.toplevel.radiative_forcings, Toplevel > Radiative Forcings, process
cmip6.toplevel.radiative_forcings.greenhouse_gases, Toplevel > Radiative Forcings > Greenhouse Gases, subprocess
cmip6.toplevel.radiative_forcings.aerosols, Toplevel > Radiative Forcings > Aerosols, subprocess
cmip6.toplevel.radiative_forcings.other, Toplevel > Radiative Forcings > Other, subprocess
, , 
cmip6.toplevel.realm_coupling, Toplevel > Realm Coupling, process
cmip6.toplevel.realm_coupling.ocean_to_atmosphere, Toplevel > Realm Coupling > Ocean To Atmosphere, subprocess
cmip6.toplevel.realm_coupling.ocean_to_seaice, Toplevel > Realm Coupling > Ocean To Seaice, subprocess
cmip6.toplevel.realm_coupling.ocean_to_ocean_biogeochemistry, Toplevel > Realm Coupling > Ocean To Ocean Biogeochemistry, subprocess
cmip6.toplevel.realm_coupling.atmosphere_to_ocean, Toplevel > Realm Coupling > Atmosphere To Ocean, subprocess
cmip6.toplevel.realm_coupling.atmosphere_to_seaice, Toplevel > Realm Coupling > Atmosphere To Seaice, subprocess
cmip6.toplevel.realm_coupling.atmosphere_to_land, Toplevel > Realm Coupling > Atmosphere To Land, subprocess
cmip6.toplevel.realm_coupling.atmosphere_to_aerosols, Toplevel > Realm Coupling > Atmosphere To Aerosols, subprocess
cmip6.toplevel.realm_coupling.atmosphere_to_amospheric_chemistry, Toplevel > Realm Coupling > Atmosphere To Amospheric Chemistry, subprocess
cmip6.toplevel.realm_coupling.atmosphere_to_ocean_biogeochemistry, Toplevel > Realm Coupling > Atmosphere To Ocean Biogeochemistry, subprocess
cmip6.toplevel.realm_coupling.seaice_to_atmosphere, Toplevel > Realm Coupling > Seaice To Atmosphere, subprocess
cmip6.toplevel.realm_coupling.seaice_to_ocean, Toplevel > Realm Coupling > Seaice To Ocean, subprocess
cmip6.toplevel.realm_coupling.seaice_to_ocean_biogeochemistry, Toplevel > Realm Coupling > Seaice To Ocean Biogeochemistry, subprocess
cmip6.toplevel.realm_coupling.land_to_atmosphere, Toplevel > Realm Coupling > Land To Atmosphere, subprocess
cmip6.toplevel.realm_coupling.land_to_ocean_biogeochemistry, Toplevel > Realm Coupling > Land To Ocean Biogeochemistry, subprocess
cmip6.toplevel.realm_coupling.land_to_atmospheric_chemistry, Toplevel > Realm Coupling > Land To Atmospheric Chemistry, subprocess
cmip6.toplevel.realm_coupling.aerosols_to_atmosphere, Toplevel > Realm Coupling > Aerosols To Atmosphere, subprocess
cmip6.toplevel.realm_coupling.atmospheric_chemistry_to_atmosphere, Toplevel > Realm Coupling > Atmospheric Chemistry To Atmosphere, subprocess
cmip6.toplevel.realm_coupling.atmospheric_chemistry_to_land, Toplevel > Realm Coupling > Atmospheric Chemistry To Land, subprocess
cmip6.toplevel.realm_coupling.atmospheric_chemistry_to_land_ice, Toplevel > Realm Coupling > Atmospheric Chemistry To Land Ice, subprocess
cmip6.toplevel.realm_coupling.atmospheric_chemistry_to_sea_ice, Toplevel > Realm Coupling > Atmospheric Chemistry To Sea Ice, subprocess
cmip6.toplevel.realm_coupling.ocean_biogeochemistry_to_ocean, Toplevel > Realm Coupling > Ocean Biogeochemistry To Ocean, subprocess
cmip6.toplevel.realm_coupling.ocean_biogeochemistry_to_atmosphere, Toplevel > Realm Coupling > Ocean Biogeochemistry To Atmosphere, subprocess
cmip6.toplevel.realm_coupling.ocean_biogeochemistry_to_seaice, Toplevel > Realm Coupling > Ocean Biogeochemistry To Seaice, subprocess
cmip6.toplevel.realm_coupling.land_ice_to_ocean, Toplevel > Realm Coupling > Land Ice To Ocean, subprocess
cmip6.toplevel.realm_coupling.land_ice_to_atmosphere, Toplevel > Realm Coupling > Land Ice To Atmosphere, subprocess
